method,PSNR,SSIM,VI_res,iters,ms_per_img
degraded,22.448867797851562,0.6457504604991856,,0,0
PIE-Net (rho hoc duoc),28.31317138671875,0.736285579529387,0.7149785757064819,12,6.948530673980713
PIE-Net (rho hang so),28.909448623657227,0.7522077739707168,0.860722541809082,12,3.5539567470550537
Bo quan tinh (no inertial),28.69605255126953,0.7462175267511274,1.2358217239379883,12,5.086988210678101
Bo viscosity (no viscosity),28.58053970336914,0.7416710627939958,0.5467461347579956,12,5.089610815048218
Chieu chinh xac (exact proj),28.915855407714844,0.753569653002749,0.8606308698654175,12,3.6152005195617676
L-free (Tseng linesearch),24.4487247467041,0.6847996672033556,6.163003921508789,12,18.824100494384766
