milestone,m,inner_steps,seed,psnr_feasible,psnr_raw,ssim,ms_per_img,feas_raw,feas_polished
1,2,16,0,25.9253,26.5328,0.7501,8.81,1.1389,0.9796
1,5,40,0,26.3854,26.8920,0.7535,21.29,1.0553,1.0032
2,2,16,0,26.8633,27.6868,0.7650,19.77,1.2327,1.0115
2,5,40,0,26.0180,26.5576,0.7550,29.95,1.1535,1.0394
