beta0,doc_proj_disp,doc_delta,tong_nua_K,tong_K,ty_le,ket_luan
0.05,-1.011,-1.876,13.9732,14.2359,1.019,TỔNG ĐƯỢC (độ dốc < -1)
0.0,-2.838,-2.838,12.7002,12.7033,1.000,TỔNG ĐƯỢC (độ dốc < -1)
