re_nhat,buoc_noi_re_nhat,dat_nhat,buoc_noi_dat_nhat,lan,loai_mo
thich_nghi e8.0 p1.01,192,thich_nghi e1.0 p1.1,186279,970,mờ Gauss
thich_nghi e8.0 p1.01,327,thich_nghi e1.0 p1.1,360876,1104,mờ chuyển động
