k,img,e_abs,e_rel,delta,resid,psnr,inner_k,inner_cum,tv_ratio,ref_check,alpha,beta,m_k
12,1,nan,nan,7.238271e-02,nan,2.353638e+01,2.000000e+00,9.800000e+01,9.997709e-01,nan,3.857823e-03,3.846154e-03,2.000000e+00
12,2,nan,nan,7.300980e-02,nan,2.355734e+01,2.000000e+00,9.800000e+01,9.996039e-01,nan,3.830716e-03,3.846154e-03,2.000000e+00
13,0,nan,nan,2.580828e-02,nan,2.413210e+01,1.000000e+00,9.900000e+01,1.008816e+00,nan,5.523924e-03,3.571429e-03,1.000000e+00
13,1,nan,nan,3.972402e-02,nan,2.356349e+01,1.000000e+00,9.900000e+01,9.996434e-01,nan,3.524350e-03,3.571429e-03,1.000000e+00
13,2,nan,nan,4.015549e-02,nan,2.358829e+01,1.000000e+00,9.900000e+01,9.993005e-01,nan,3.494079e-03,3.571429e-03,1.000000e+00
14,0,nan,nan,2.559772e-02,nan,2.414791e+01,1.000000e+00,1.000000e+02,1.007973e+00,nan,8.610503e-03,3.333333e-03,1.000000e+00
14,1,nan,nan,3.956641e-02,nan,2.358988e+01,1.000000e+00,1.000000e+02,9.995833e-01,nan,5.594152e-03,3.333333e-03,1.000000e+00
14,2,nan,nan,3.998128e-02,nan,2.361854e+01,1.000000e+00,1.000000e+02,9.990972e-01,nan,5.534043e-03,3.333333e-03,1.000000e+00
15,0,6.911822e-02,4.628107e-03,2.491305e-02,9.514789e-02,2.416291e+01,1.000000e+00,1.010000e+02,1.007305e+00,nan,7.630073e-03,3.125000e-03,1.000000e+00
15,1,1.064543e-01,2.630205e-03,3.828901e-02,1.532217e-01,2.361506e+01,1.000000e+00,1.010000e+02,9.995143e-01,nan,4.936321e-03,3.125000e-03,1.000000e+00
15,2,1.074645e-01,2.469857e-03,3.872746e-02,1.545687e-01,2.364760e+01,1.000000e+00,1.010000e+02,9.989129e-01,nan,4.885099e-03,3.125000e-03,1.000000e+00
16,0,nan,nan,2.421751e-02,nan,2.417718e+01,1.000000e+00,1.020000e+02,1.006731e+00,nan,6.944569e-03,2.941177e-03,1.000000e+00
16,1,nan,nan,3.713891e-02,nan,2.363910e+01,1.000000e+00,1.020000e+02,9.994490e-01,nan,4.518539e-03,2.941177e-03,1.000000e+00
16,2,nan,nan,3.759381e-02,nan,2.367553e+01,1.000000e+00,1.020000e+02,9.987675e-01,nan,4.467383e-03,2.941177e-03,1.000000e+00
17,0,nan,nan,2.353722e-02,nan,2.419078e+01,1.000000e+00,1.030000e+02,1.006190e+00,nan,6.372290e-03,2.777778e-03,1.000000e+00
17,1,nan,nan,3.604577e-02,nan,2.366205e+01,1.000000e+00,1.030000e+02,9.993979e-01,nan,4.155237e-03,2.777778e-03,1.000000e+00
17,2,nan,nan,3.651505e-02,nan,2.370237e+01,1.000000e+00,1.030000e+02,9.986598e-01,nan,4.104957e-03,2.777778e-03,1.000000e+00
18,0,nan,nan,2.291315e-02,nan,2.420378e+01,1.000000e+00,1.040000e+02,1.005719e+00,nan,5.884475e-03,2.631579e-03,1.000000e+00
18,1,nan,nan,3.500836e-02,nan,2.368396e+01,1.000000e+00,1.040000e+02,9.993718e-01,nan,3.842453e-03,2.631579e-03,1.000000e+00
18,2,nan,nan,3.548870e-02,nan,2.372815e+01,1.000000e+00,1.040000e+02,9.985939e-01,nan,3.793071e-03,2.631579e-03,1.000000e+00
19,0,nan,nan,2.232076e-02,nan,2.421624e+01,1.000000e+00,1.050000e+02,1.005313e+00,nan,5.455383e-03,2.500000e-03,1.000000e+00
19,1,nan,nan,3.402481e-02,nan,2.370487e+01,1.000000e+00,1.050000e+02,9.993777e-01,nan,3.570576e-03,2.500000e-03,1.000000e+00
19,2,nan,nan,3.451514e-02,nan,2.375291e+01,1.000000e+00,1.050000e+02,9.985801e-01,nan,3.522248e-03,2.500000e-03,1.000000e+00
20,0,6.170199e-02,4.123697e-03,2.172944e-02,8.346301e-02,2.422821e+01,1.000000e+00,1.060000e+02,1.005046e+00,nan,5.079517e-03,2.380952e-03,1.000000e+00
20,1,9.231462e-02,2.278455e-03,3.308794e-02,1.320370e-01,2.372484e+01,1.000000e+00,1.060000e+02,9.994208e-01,nan,3.332236e-03,2.380952e-03,1.000000e+00
20,2,9.357909e-02,2.148716e-03,3.358916e-02,1.336600e-01,2.377670e+01,1.000000e+00,1.060000e+02,9.986500e-01,nan,3.284897e-03,2.380952e-03,1.000000e+00
21,0,nan,nan,2.115083e-02,nan,2.423975e+01,1.000000e+00,1.070000e+02,1.004860e+00,nan,4.754185e-03,2.272727e-03,1.000000e+00
21,1,nan,nan,3.219701e-02,nan,2.374392e+01,1.000000e+00,1.070000e+02,9.995006e-01,nan,3.122159e-03,2.272727e-03,1.000000e+00
21,2,nan,nan,3.270587e-02,nan,2.379957e+01,1.000000e+00,1.070000e+02,9.987901e-01,nan,3.075569e-03,2.272727e-03,1.000000e+00
22,0,nan,nan,2.059786e-02,nan,2.425090e+01,1.000000e+00,1.080000e+02,1.004699e+00,nan,4.468758e-03,2.173913e-03,1.000000e+00
22,1,nan,nan,3.134852e-02,nan,2.376217e+01,1.000000e+00,1.080000e+02,9.995961e-01,nan,2.935613e-03,2.173913e-03,1.000000e+00
22,2,nan,nan,3.185785e-02,nan,2.382157e+01,1.000000e+00,1.080000e+02,9.989758e-01,nan,2.889939e-03,2.173913e-03,1.000000e+00
23,0,nan,nan,2.007856e-02,nan,2.426169e+01,1.000000e+00,1.090000e+02,1.004533e+00,nan,4.214299e-03,2.083333e-03,1.000000e+00
23,1,nan,nan,3.054131e-02,nan,2.377966e+01,1.000000e+00,1.090000e+02,9.996998e-01,nan,2.769048e-03,2.083333e-03,1.000000e+00
23,2,nan,nan,3.104581e-02,nan,2.384274e+01,1.000000e+00,1.090000e+02,9.991846e-01,nan,2.724778e-03,2.083333e-03,1.000000e+00
24,0,nan,nan,2.714840e-04,nan,2.426173e+01,0.000000e+00,1.090000e+02,1.004533e+00,nan,3.984349e-03,2.000000e-03,0.000000e+00
24,1,nan,nan,2.996468e-04,nan,2.377984e+01,0.000000e+00,1.090000e+02,9.996998e-01,nan,2.619403e-03,2.000000e-03,0.000000e+00
24,2,nan,nan,3.246554e-04,nan,2.384293e+01,0.000000e+00,1.090000e+02,9.991846e-01,nan,2.576837e-03,2.000000e-03,0.000000e+00
25,0,5.805373e-02,3.874819e-03,1.992120e-02,7.629664e-02,2.427245e+01,1.000000e+00,1.100000e+02,1.004495e+00,nan,2.724451e-01,1.923077e-03,1.000000e+00
25,1,8.553260e-02,2.109536e-03,3.059428e-02,1.184628e-01,2.379694e+01,1.000000e+00,1.100000e+02,9.998656e-01,nan,2.468389e-01,1.923077e-03,1.000000e+00
