k,img,e_abs,e_rel,delta,resid,psnr,inner_k,inner_cum,tv_ratio,ref_check,alpha,beta,m_k
0,0,2.189377e+00,1.522032e-01,1.825203e+00,2.233393e+00,2.720180e+01,2.000000e+00,2.000000e+00,2.298637e+00,nan,3.000000e-01,5.000000e-02,2.000000e+00
0,1,1.022582e+00,2.605603e-02,1.344402e+00,1.191950e+00,2.004124e+01,2.000000e+00,2.000000e+00,1.480543e+00,nan,3.000000e-01,5.000000e-02,2.000000e+00
0,2,1.241203e+00,2.931661e-02,1.592668e+00,1.389910e+00,1.995424e+01,2.000000e+00,2.000000e+00,1.779670e+00,nan,3.000000e-01,5.000000e-02,2.000000e+00
1,0,nan,nan,1.709002e+00,nan,2.750092e+01,2.000000e+00,4.000000e+00,1.912400e+00,nan,6.848555e-03,2.500000e-02,2.000000e+00
1,1,nan,nan,1.220689e+00,nan,2.060227e+01,2.000000e+00,4.000000e+00,1.018222e+00,nan,9.297812e-03,2.500000e-02,2.000000e+00
1,2,nan,nan,1.408096e+00,nan,2.055060e+01,2.000000e+00,4.000000e+00,1.186064e+00,nan,7.848465e-03,2.500000e-02,2.000000e+00
2,0,nan,nan,9.073197e-01,nan,2.692691e+01,2.000000e+00,6.000000e+00,1.828585e+00,nan,3.250761e-03,1.666667e-02,2.000000e+00
2,1,nan,nan,6.239409e-01,nan,2.094179e+01,2.000000e+00,6.000000e+00,9.094108e-01,nan,4.551164e-03,1.666667e-02,2.000000e+00
2,2,nan,nan,6.875504e-01,nan,2.090213e+01,2.000000e+00,6.000000e+00,1.115983e+00,nan,3.945438e-03,1.666667e-02,2.000000e+00
3,0,nan,nan,7.518428e-01,nan,2.658521e+01,2.000000e+00,8.000000e+00,1.547560e+00,nan,3.444210e-03,1.250000e-02,2.000000e+00
3,1,nan,nan,3.352011e-01,nan,2.119944e+01,2.000000e+00,8.000000e+00,8.522635e-01,nan,5.008487e-03,1.250000e-02,2.000000e+00
3,2,nan,nan,4.448218e-01,nan,2.119299e+01,2.000000e+00,8.000000e+00,9.824879e-01,nan,4.545121e-03,1.250000e-02,2.000000e+00
4,0,nan,nan,6.026419e-01,nan,2.634547e+01,2.000000e+00,1.000000e+01,1.425879e+00,nan,2.660131e-03,1.000000e-02,2.000000e+00
4,1,nan,nan,2.284573e-01,nan,2.140437e+01,2.000000e+00,1.000000e+01,8.308795e-01,nan,5.966567e-03,1.000000e-02,2.000000e+00
4,2,nan,nan,3.360143e-01,nan,2.143788e+01,2.000000e+00,1.000000e+01,8.992485e-01,nan,4.496183e-03,1.000000e-02,2.000000e+00
