k,img,e_abs,e_rel,delta,resid,psnr,inner_k,inner_cum,tv_ratio,ref_check,alpha,beta,m_k
12,1,nan,nan,9.549940e-02,nan,2.356571e+01,2.000000e+00,2.600000e+01,8.912151e-01,nan,2.892235e-03,3.846154e-03,2.000000e+00
12,2,nan,nan,9.912119e-02,nan,2.361802e+01,2.000000e+00,2.600000e+01,8.941149e-01,nan,2.790841e-03,3.846154e-03,2.000000e+00
13,0,nan,nan,9.374512e-02,nan,2.369831e+01,2.000000e+00,2.800000e+01,9.949929e-01,nan,2.573372e-03,3.571429e-03,2.000000e+00
13,1,nan,nan,8.939033e-02,nan,2.361958e+01,2.000000e+00,2.800000e+01,8.994690e-01,nan,2.671242e-03,3.571429e-03,2.000000e+00
13,2,nan,nan,9.294192e-02,nan,2.367376e+01,2.000000e+00,2.800000e+01,9.063143e-01,nan,2.573638e-03,3.571429e-03,2.000000e+00
14,0,nan,nan,8.744905e-02,nan,2.377279e+01,2.000000e+00,3.000000e+01,1.019777e+00,nan,2.370494e-03,3.333333e-03,2.000000e+00
14,1,nan,nan,8.389029e-02,nan,2.366766e+01,2.000000e+00,3.000000e+01,9.074475e-01,nan,2.485976e-03,3.333333e-03,2.000000e+00
14,2,nan,nan,8.738935e-02,nan,2.372358e+01,2.000000e+00,3.000000e+01,9.184373e-01,nan,2.390979e-03,3.333333e-03,2.000000e+00
15,0,9.726451e-02,6.536916e-03,7.819726e-02,1.462407e-01,2.383997e+01,2.000000e+00,3.200000e+01,1.036930e+00,nan,2.233444e-03,3.125000e-03,2.000000e+00
15,1,9.465946e-02,2.341905e-03,7.893015e-02,1.809390e-01,2.371059e+01,2.000000e+00,3.200000e+01,9.151846e-01,nan,2.328190e-03,3.125000e-03,2.000000e+00
15,2,9.889226e-02,2.275140e-03,8.238944e-02,1.879247e-01,2.376812e+01,2.000000e+00,3.200000e+01,9.304502e-01,nan,2.234969e-03,3.125000e-03,2.000000e+00
16,0,nan,nan,6.898910e-02,nan,2.389930e+01,2.000000e+00,3.400000e+01,1.045772e+00,nan,2.212487e-03,2.941177e-03,2.000000e+00
16,1,nan,nan,7.445163e-02,nan,2.374893e+01,2.000000e+00,3.400000e+01,9.227017e-01,nan,2.191943e-03,2.941177e-03,2.000000e+00
16,2,nan,nan,7.787985e-02,nan,2.380794e+01,2.000000e+00,3.400000e+01,9.423496e-01,nan,2.099910e-03,2.941177e-03,2.000000e+00
17,0,nan,nan,6.146444e-02,nan,2.395077e+01,2.000000e+00,3.600000e+01,1.048952e+00,nan,2.236890e-03,2.777778e-03,2.000000e+00
17,1,nan,nan,7.040164e-02,nan,2.378317e+01,2.000000e+00,3.600000e+01,9.300067e-01,nan,2.072769e-03,2.777778e-03,2.000000e+00
17,2,nan,nan,7.380424e-02,nan,2.384352e+01,2.000000e+00,3.600000e+01,9.541584e-01,nan,1.981526e-03,2.777778e-03,2.000000e+00
18,0,nan,nan,5.585387e-02,nan,2.399474e+01,2.000000e+00,3.800000e+01,1.048508e+00,nan,2.253403e-03,2.631579e-03,2.000000e+00
18,1,nan,nan,6.673172e-02,nan,2.381373e+01,2.000000e+00,3.800000e+01,9.371161e-01,nan,1.967343e-03,2.631579e-03,2.000000e+00
18,2,nan,nan,7.011190e-02,nan,2.387529e+01,2.000000e+00,3.800000e+01,9.658587e-01,nan,1.876642e-03,2.631579e-03,2.000000e+00
19,0,nan,nan,5.229317e-02,nan,2.403183e+01,2.000000e+00,4.000000e+01,1.045067e+00,nan,2.237983e-03,2.500000e-03,2.000000e+00
19,1,nan,nan,6.340332e-02,nan,2.384098e+01,2.000000e+00,4.000000e+01,9.440580e-01,nan,1.873172e-03,2.500000e-03,2.000000e+00
19,2,nan,nan,6.676257e-02,nan,2.390362e+01,2.000000e+00,4.000000e+01,9.774293e-01,nan,1.782864e-03,2.500000e-03,2.000000e+00
20,0,1.124239e-01,7.524364e-03,5.030788e-02,1.359597e-01,2.406280e+01,2.000000e+00,4.200000e+01,1.039334e+00,nan,2.168135e-03,2.380952e-03,2.000000e+00
20,1,7.242443e-02,1.787913e-03,6.037686e-02,1.385851e-01,2.386526e+01,2.000000e+00,4.200000e+01,9.508479e-01,nan,1.788214e-03,2.380952e-03,2.000000e+00
20,2,7.451876e-02,1.711071e-03,6.371549e-02,1.376427e-01,2.392884e+01,2.000000e+00,4.200000e+01,9.888794e-01,nan,1.698237e-03,2.380952e-03,2.000000e+00
21,0,nan,nan,4.904332e-02,nan,2.408858e+01,2.000000e+00,4.400000e+01,1.032356e+00,nan,2.053471e-03,2.272727e-03,2.000000e+00
21,1,nan,nan,5.762187e-02,nan,2.388683e+01,2.000000e+00,4.400000e+01,9.574929e-01,nan,1.711016e-03,2.272727e-03,2.000000e+00
21,2,nan,nan,6.081264e-02,nan,2.395141e+01,2.000000e+00,4.400000e+01,1.000040e+00,nan,1.621361e-03,2.272727e-03,2.000000e+00
22,0,nan,nan,4.762012e-02,nan,2.411007e+01,2.000000e+00,4.600000e+01,1.025196e+00,nan,1.927234e-03,2.173913e-03,2.000000e+00
22,1,nan,nan,5.510808e-02,nan,2.390597e+01,2.000000e+00,4.600000e+01,9.640016e-01,nan,1.640314e-03,2.173913e-03,2.000000e+00
22,2,nan,nan,5.739802e-02,nan,2.397258e+01,2.000000e+00,4.600000e+01,1.009757e+00,nan,1.554249e-03,2.173913e-03,2.000000e+00
23,0,nan,nan,4.559018e-02,nan,2.412827e+01,2.000000e+00,4.800000e+01,1.018435e+00,nan,1.822876e-03,2.083333e-03,2.000000e+00
23,1,nan,nan,5.281005e-02,nan,2.392289e+01,2.000000e+00,4.800000e+01,9.703821e-01,nan,1.575188e-03,2.083333e-03,2.000000e+00
23,2,nan,nan,5.296465e-02,nan,2.399517e+01,2.000000e+00,4.800000e+01,1.015288e+00,nan,1.512344e-03,2.083333e-03,2.000000e+00
24,0,nan,nan,4.301592e-02,nan,2.414423e+01,2.000000e+00,5.000000e+01,1.012519e+00,nan,1.754764e-03,2.000000e-03,2.000000e+00
24,1,nan,nan,5.070670e-02,nan,2.393779e+01,2.000000e+00,5.000000e+01,9.766441e-01,nan,1.514863e-03,2.000000e-03,2.000000e+00
24,2,nan,nan,4.968639e-02,nan,2.402053e+01,2.000000e+00,5.000000e+01,1.015898e+00,nan,1.510441e-03,2.000000e-03,2.000000e+00
25,0,5.241288e-02,3.497545e-03,4.005329e-02,7.959396e-02,2.415892e+01,2.000000e+00,5.200000e+01,1.007816e+00,nan,1.719468e-03,1.923077e-03,2.000000e+00
25,1,5.852426e-02,1.442638e-03,4.877496e-02,1.119425e-01,2.395083e+01,2.000000e+00,5.200000e+01,9.828054e-01,nan,1.458673e-03,1.923077e-03,2.000000e+00
25,2,6.150128e-02,1.410482e-03,4.805869e-02,1.104079e-01,2.404844e+01,2.000000e+00,5.200000e+01,1.012804e+00,nan,1.488627e-03,1.923077e-03,2.000000e+00
26,0,nan,nan,3.700345e-02,nan,2.417313e+01,2.000000e+00,5.400000e+01,1.004276e+00,nan,1.712397e-03,1.851852e-03,2.000000e+00
26,1,nan,nan,4.699953e-02,nan,2.396219e+01,2.000000e+00,5.400000e+01,9.888722e-01,nan,1.406195e-03,1.851852e-03,2.000000e+00
26,2,nan,nan,4.693580e-02,nan,2.407769e+01,2.000000e+00,5.400000e+01,1.007870e+00,nan,1.427153e-03,1.851852e-03,2.000000e+00
27,0,nan,nan,3.426636e-02,nan,2.418736e+01,2.000000e+00,5.600000e+01,1.001728e+00,nan,1.723502e-03,1.785714e-03,2.000000e+00
27,1,nan,nan,4.536324e-02,nan,2.397199e+01,2.000000e+00,5.600000e+01,9.948611e-01,nan,1.356939e-03,1.785714e-03,2.000000e+00
27,2,nan,nan,4.547819e-02,nan,2.410680e+01,2.000000e+00,5.600000e+01,1.002702e+00,nan,1.358782e-03,1.785714e-03,2.000000e+00
28,0,nan,nan,3.196172e-02,nan,2.420188e+01,2.000000e+00,5.800000e+01,1.000211e+00,nan,1.735026e-03,1.724138e-03,2.000000e+00
28,1,nan,nan,4.369342e-02,nan,2.398060e+01,2.000000e+00,5.800000e+01,1.000616e+00,nan,1.310599e-03,1.724138e-03,2.000000e+00
28,2,nan,nan,4.351489e-02,nan,2.413447e+01,2.000000e+00,5.800000e+01,9.982564e-01,nan,1.307287e-03,1.724138e-03,2.000000e+00
29,0,nan,nan,3.010548e-02,nan,2.421682e+01,2.000000e+00,6.000000e+01,9.996648e-01,nan,1.738190e-03,1.666667e-03,2.000000e+00
29,1,nan,nan,4.147963e-02,nan,2.398927e+01,2.000000e+00,6.000000e+01,1.005434e+00,nan,1.271486e-03,1.666667e-03,2.000000e+00
29,2,nan,nan,4.137485e-02,nan,2.415969e+01,2.000000e+00,6.000000e+01,9.951942e-01,nan,1.276702e-03,1.666667e-03,2.000000e+00
30,0,4.653515e-02,3.098743e-03,2.870594e-02,6.768300e-02,2.423212e+01,2.000000e+00,6.200000e+01,9.999190e-01,nan,1.728228e-03,1.612903e-03,2.000000e+00
30,1,5.025799e-02,1.237682e-03,3.864608e-02,8.963770e-02,2.400033e+01,2.000000e+00,6.200000e+01,1.007976e+00,nan,1.254330e-03,1.612903e-03,2.000000e+00
