k,img,e_abs,e_rel,delta,resid,psnr,inner_k,inner_cum,tv_ratio,ref_check,alpha,beta,m_k
12,1,nan,nan,1.246118e-01,nan,2.278347e+01,5.000000e+00,6.500000e+01,1.000067e+00,nan,2.211142e-03,3.846154e-03,5.000000e+00
12,2,nan,nan,1.237193e-01,nan,2.286742e+01,5.000000e+00,6.500000e+01,1.000394e+00,nan,2.220046e-03,3.846154e-03,5.000000e+00
13,0,nan,nan,5.959241e-02,nan,2.649747e+01,5.000000e+00,7.000000e+01,1.015380e+00,nan,3.651432e-03,3.571429e-03,5.000000e+00
13,1,nan,nan,1.165400e-01,nan,2.288299e+01,5.000000e+00,7.000000e+01,1.000059e+00,nan,2.047174e-03,3.571429e-03,5.000000e+00
13,2,nan,nan,1.154502e-01,nan,2.296434e+01,5.000000e+00,7.000000e+01,1.000020e+00,nan,2.061942e-03,3.571429e-03,5.000000e+00
14,0,nan,nan,5.055203e-02,nan,2.650618e+01,5.000000e+00,7.500000e+01,1.014353e+00,nan,3.729036e-03,3.333333e-03,5.000000e+00
14,1,nan,nan,1.094952e-01,nan,2.297575e+01,5.000000e+00,7.500000e+01,1.000110e+00,nan,1.906832e-03,3.333333e-03,5.000000e+00
14,2,nan,nan,1.081177e-01,nan,2.305425e+01,5.000000e+00,7.500000e+01,9.999209e-01,nan,1.924832e-03,3.333333e-03,5.000000e+00
15,0,8.983596e-02,6.056908e-03,4.478074e-02,9.982007e-02,2.650935e+01,5.000000e+00,8.000000e+01,1.012861e+00,nan,3.863594e-03,3.125000e-03,5.000000e+00
15,1,2.877108e-02,7.128083e-04,1.032768e-01,1.418105e-01,2.306248e+01,5.000000e+00,8.000000e+01,1.000118e+00,nan,1.783754e-03,3.125000e-03,5.000000e+00
15,2,2.852484e-02,6.566995e-04,1.015640e-01,1.399593e-01,2.313786e+01,5.000000e+00,8.000000e+01,1.000008e+00,nan,1.806480e-03,3.125000e-03,5.000000e+00
16,0,nan,nan,4.047065e-02,nan,2.650828e+01,5.000000e+00,8.500000e+01,1.011412e+00,nan,3.863500e-03,2.941177e-03,5.000000e+00
16,1,nan,nan,9.773456e-02,nan,2.314379e+01,5.000000e+00,8.500000e+01,1.000090e+00,nan,1.675210e-03,2.941177e-03,5.000000e+00
16,2,nan,nan,9.560388e-02,nan,2.321579e+01,5.000000e+00,8.500000e+01,1.000104e+00,nan,1.703462e-03,2.941177e-03,5.000000e+00
17,0,nan,nan,3.572376e-02,nan,2.650433e+01,5.000000e+00,9.000000e+01,1.010319e+00,nan,3.813158e-03,2.777778e-03,5.000000e+00
17,1,nan,nan,9.270449e-02,nan,2.322013e+01,5.000000e+00,9.000000e+01,1.000088e+00,nan,1.578981e-03,2.777778e-03,5.000000e+00
17,2,nan,nan,9.034814e-02,nan,2.328852e+01,5.000000e+00,9.000000e+01,1.000069e+00,nan,1.614171e-03,2.777778e-03,5.000000e+00
18,0,nan,nan,3.158897e-02,nan,2.649870e+01,5.000000e+00,9.500000e+01,1.009270e+00,nan,3.877088e-03,2.631579e-03,5.000000e+00
18,1,nan,nan,8.809987e-02,nan,2.329177e+01,5.000000e+00,9.500000e+01,1.000098e+00,nan,1.494039e-03,2.631579e-03,5.000000e+00
18,2,nan,nan,8.559506e-02,nan,2.335665e+01,5.000000e+00,9.500000e+01,1.000071e+00,nan,1.533005e-03,2.631579e-03,5.000000e+00
19,0,nan,nan,2.897182e-02,nan,2.649235e+01,5.000000e+00,1.000000e+02,1.007952e+00,nan,3.957078e-03,2.500000e-03,5.000000e+00
19,1,nan,nan,8.393243e-02,nan,2.335905e+01,5.000000e+00,1.000000e+02,1.000085e+00,nan,1.418844e-03,2.500000e-03,5.000000e+00
