k,resid
290,1.71902735e-04
291,1.71287087e-04
292,1.70760803e-04
293,1.70105530e-04
294,1.69520892e-04
295,1.68930856e-04
296,1.68307117e-04
297,1.67764476e-04
298,1.67279693e-04
299,1.66698141e-04
300,1.66131038e-04
301,1.65606543e-04
302,1.65152072e-04
303,1.64444718e-04
304,1.63834120e-04
305,1.63352830e-04
306,1.62838696e-04
307,1.62440178e-04
308,1.61905482e-04
309,1.61293268e-04
310,1.60777272e-04
311,1.60263327e-04
312,1.59744843e-04
313,1.59283823e-04
314,1.58724390e-04
315,1.58235489e-04
316,1.57684655e-04
317,1.57267947e-04
318,1.56832000e-04
319,1.56173686e-04
320,1.55761707e-04
321,1.55219124e-04
322,1.54805151e-04
323,1.54244481e-04
324,1.53845031e-04
325,1.53319823e-04
326,1.52835535e-04
327,1.52508044e-04
328,1.52013497e-04
329,1.51469925e-04
330,1.51066721e-04
331,1.50559936e-04
332,1.50164036e-04
333,1.49711996e-04
334,1.49300511e-04
335,1.48811712e-04
336,1.48328108e-04
337,1.47966319e-04
338,1.47464190e-04
339,1.47071944e-04
340,1.46573002e-04
341,1.46217222e-04
342,1.45852595e-04
343,1.45393584e-04
344,1.44890684e-04
345,1.44498539e-04
346,1.44066187e-04
347,1.43719983e-04
348,1.43308789e-04
349,1.42814053e-04
350,1.42397635e-04
351,1.42024859e-04
352,1.41594763e-04
353,1.41234181e-04
354,1.40873599e-04
355,1.40422475e-04
356,1.40101067e-04
357,1.39627373e-04
358,1.39349373e-04
359,1.38918243e-04
360,1.38577801e-04
361,1.38220028e-04
362,1.37671275e-04
363,1.37489376e-04
364,1.36972289e-04
365,1.36616174e-04
366,1.36238785e-04
367,1.35844079e-04
368,1.35492272e-04
369,1.35106297e-04
370,1.34762493e-04
371,1.34355520e-04
372,1.34025875e-04
373,1.33647452e-04
374,1.33416761e-04
375,1.32980058e-04
376,1.32623070e-04
377,1.32262474e-04
378,1.31891662e-04
379,1.31516834e-04
380,1.31232475e-04
381,1.30894885e-04
382,1.30531567e-04
383,1.30239685e-04
384,1.29857901e-04
385,1.29473498e-04
386,1.29305496e-04
387,1.28891188e-04
388,1.28448068e-04
389,1.28196858e-04
390,1.27827327e-04
391,1.27496620e-04
392,1.27249776e-04
393,1.26916741e-04
394,1.26596409e-04
395,1.26193365e-04
396,1.26000887e-04
397,1.25633887e-04
398,1.25212726e-04
399,1.25045088e-04
