k,img,e_abs,e_rel,delta,resid,psnr,inner_k,inner_cum,tv_ratio,ref_check,alpha,beta,m_k
12,1,nan,nan,4.898800e-02,nan,2.257651e+01,1.000000e+00,4.380000e+02,1.000382e+00,nan,6.006883e-03,3.846154e-03,1.000000e+00
12,2,nan,nan,4.905135e-02,nan,2.261642e+01,1.000000e+00,4.380000e+02,9.997239e-01,nan,6.002570e-03,3.846154e-03,1.000000e+00
13,0,nan,nan,1.376384e-02,nan,2.642907e+01,1.000000e+00,4.390000e+02,1.004323e+00,nan,1.786871e-02,3.571429e-03,1.000000e+00
13,1,nan,nan,4.766831e-02,nan,2.261700e+01,1.000000e+00,4.390000e+02,1.000450e+00,nan,5.207439e-03,3.571429e-03,1.000000e+00
13,2,nan,nan,4.770009e-02,nan,2.265715e+01,1.000000e+00,4.390000e+02,9.996738e-01,nan,5.200714e-03,3.571429e-03,1.000000e+00
14,0,nan,nan,1.328386e-02,nan,2.643008e+01,1.000000e+00,4.400000e+02,1.004316e+00,nan,1.614537e-02,3.333333e-03,1.000000e+00
14,1,nan,nan,4.646535e-02,nan,2.265645e+01,1.000000e+00,4.400000e+02,1.000483e+00,nan,4.661844e-03,3.333333e-03,1.000000e+00
14,2,nan,nan,4.646998e-02,nan,2.269678e+01,1.000000e+00,4.400000e+02,9.995993e-01,nan,4.658738e-03,3.333333e-03,1.000000e+00
15,0,6.844456e-02,4.617845e-03,1.280088e-02,7.567803e-02,2.643086e+01,1.000000e+00,4.410000e+02,1.004279e+00,nan,1.470300e-02,3.125000e-03,1.000000e+00
15,1,1.241703e-01,3.081507e-03,4.532256e-02,1.789479e-01,2.269490e+01,1.000000e+00,4.410000e+02,1.000505e+00,nan,4.203401e-03,3.125000e-03,1.000000e+00
15,2,1.247596e-01,2.876872e-03,4.530265e-02,1.796054e-01,2.273534e+01,1.000000e+00,4.410000e+02,9.995509e-01,nan,4.202982e-03,3.125000e-03,1.000000e+00
16,0,nan,nan,6.977405e-04,nan,2.643013e+01,0.000000e+00,4.410000e+02,1.004279e+00,nan,1.351551e-02,2.941177e-03,0.000000e+00
16,1,nan,nan,7.386610e-04,nan,2.269537e+01,0.000000e+00,4.410000e+02,1.000505e+00,nan,3.817312e-03,2.941177e-03,0.000000e+00
16,2,nan,nan,7.874438e-04,nan,2.273583e+01,0.000000e+00,4.410000e+02,9.995509e-01,nan,3.818990e-03,2.941177e-03,0.000000e+00
17,0,nan,nan,1.262677e-02,nan,2.643078e+01,1.000000e+00,4.420000e+02,1.004211e+00,nan,2.211725e-01,2.777778e-03,1.000000e+00
17,1,nan,nan,4.530851e-02,nan,2.273342e+01,1.000000e+00,4.420000e+02,1.000598e+00,nan,2.089199e-01,2.777778e-03,1.000000e+00
17,2,nan,nan,4.532038e-02,nan,2.277390e+01,1.000000e+00,4.420000e+02,9.996431e-01,nan,1.959772e-01,2.777778e-03,1.000000e+00
18,0,nan,nan,5.554791e-04,nan,2.643020e+01,0.000000e+00,4.420000e+02,1.004211e+00,nan,1.096909e-02,2.631579e-03,0.000000e+00
18,1,nan,nan,5.922905e-04,nan,2.273379e+01,0.000000e+00,4.420000e+02,1.000598e+00,nan,3.056912e-03,2.631579e-03,0.000000e+00
18,2,nan,nan,6.307414e-04,nan,2.277429e+01,0.000000e+00,4.420000e+02,9.996431e-01,nan,3.056112e-03,2.631579e-03,0.000000e+00
19,0,nan,nan,4.998733e-04,nan,2.642967e+01,0.000000e+00,4.420000e+02,1.004211e+00,nan,2.250310e-01,2.500000e-03,0.000000e+00
19,1,nan,nan,5.340742e-04,nan,2.273413e+01,0.000000e+00,4.420000e+02,1.000598e+00,nan,2.110451e-01,2.500000e-03,0.000000e+00
19,2,nan,nan,5.686090e-04,nan,2.277464e+01,0.000000e+00,4.420000e+02,9.996431e-01,nan,1.981795e-01,2.500000e-03,0.000000e+00
20,0,7.293335e-02,4.918476e-03,4.522639e-04,7.394375e-02,2.642919e+01,0.000000e+00,4.420000e+02,1.004211e+00,nan,2.268149e-01,2.380952e-03,0.000000e+00
20,1,1.658007e-01,4.112170e-03,4.825656e-04,1.740651e-01,2.273443e+01,0.000000e+00,4.420000e+02,1.000598e+00,nan,2.122901e-01,2.380952e-03,0.000000e+00
20,2,1.663314e-01,3.833372e-03,5.139855e-04,1.745970e-01,2.277496e+01,0.000000e+00,4.420000e+02,9.996431e-01,nan,1.993966e-01,2.380952e-03,0.000000e+00
21,0,nan,nan,4.111657e-04,nan,2.642876e+01,0.000000e+00,4.420000e+02,1.004211e+00,nan,2.284193e-01,2.272727e-03,0.000000e+00
21,1,nan,nan,4.392398e-04,nan,2.273471e+01,0.000000e+00,4.420000e+02,1.000598e+00,nan,2.140761e-01,2.272727e-03,0.000000e+00
21,2,nan,nan,4.676101e-04,nan,2.277525e+01,0.000000e+00,4.420000e+02,9.996431e-01,nan,2.009897e-01,2.272727e-03,0.000000e+00
22,0,nan,nan,3.753889e-04,nan,2.642836e+01,0.000000e+00,4.420000e+02,1.004211e+00,nan,2.298780e-01,2.173913e-03,0.000000e+00
22,1,nan,nan,4.008282e-04,nan,2.273496e+01,0.000000e+00,4.420000e+02,1.000598e+00,nan,2.151853e-01,2.173913e-03,0.000000e+00
22,2,nan,nan,4.269158e-04,nan,2.277551e+01,0.000000e+00,4.420000e+02,9.996431e-01,nan,2.021298e-01,2.173913e-03,0.000000e+00
23,0,nan,nan,3.441671e-04,nan,2.642800e+01,0.000000e+00,4.420000e+02,1.004211e+00,nan,2.312417e-01,2.083333e-03,0.000000e+00
23,1,nan,nan,3.668299e-04,nan,2.273519e+01,0.000000e+00,4.420000e+02,1.000598e+00,nan,2.165655e-01,2.083333e-03,0.000000e+00
23,2,nan,nan,3.906726e-04,nan,2.277575e+01,0.000000e+00,4.420000e+02,9.996431e-01,nan,2.033318e-01,2.083333e-03,0.000000e+00
24,0,nan,nan,3.165498e-04,nan,2.642766e+01,0.000000e+00,4.420000e+02,1.004211e+00,nan,2.324452e-01,2.000000e-03,0.000000e+00
24,1,nan,nan,3.388358e-04,nan,2.273541e+01,0.000000e+00,4.420000e+02,1.000598e+00,nan,2.180847e-01,2.000000e-03,0.000000e+00
24,2,nan,nan,3.606910e-04,nan,2.277597e+01,0.000000e+00,4.420000e+02,9.996431e-01,nan,2.047751e-01,2.000000e-03,0.000000e+00
25,0,7.314096e-02,4.932411e-03,2.922892e-04,7.388031e-02,2.642735e+01,0.000000e+00,4.420000e+02,1.004211e+00,nan,2.336583e-01,1.923077e-03,0.000000e+00
25,1,1.672422e-01,4.147864e-03,3.114761e-04,1.738699e-01,2.273560e+01,0.000000e+00,4.420000e+02,1.000598e+00,nan,2.182900e-01,1.923077e-03,0.000000e+00
25,2,1.677772e-01,3.866642e-03,3.317387e-04,1.744001e-01,2.277617e+01,0.000000e+00,4.420000e+02,9.996431e-01,nan,2.050633e-01,1.923077e-03,0.000000e+00
26,0,nan,nan,2.705806e-04,nan,2.642707e+01,0.000000e+00,4.420000e+02,1.004211e+00,nan,2.346549e-01,1.851852e-03,0.000000e+00
26,1,nan,nan,2.889599e-04,nan,2.273578e+01,0.000000e+00,4.420000e+02,1.000598e+00,nan,2.202002e-01,1.851852e-03,0.000000e+00
26,2,nan,nan,3.076371e-04,nan,2.277637e+01,0.000000e+00,4.420000e+02,9.996431e-01,nan,2.067504e-01,1.851852e-03,0.000000e+00
27,0,nan,nan,2.512547e-04,nan,2.642680e+01,0.000000e+00,4.420000e+02,1.004211e+00,nan,2.356987e-01,1.785714e-03,0.000000e+00
27,1,nan,nan,2.685537e-04,nan,2.273595e+01,0.000000e+00,4.420000e+02,1.000598e+00,nan,2.207071e-01,1.785714e-03,0.000000e+00
27,2,nan,nan,2.859787e-04,nan,2.277654e+01,0.000000e+00,4.420000e+02,9.996431e-01,nan,2.073076e-01,1.785714e-03,0.000000e+00
28,0,nan,nan,2.339311e-04,nan,2.642656e+01,0.000000e+00,4.420000e+02,1.004211e+00,nan,2.366246e-01,1.724138e-03,0.000000e+00
