k,img,e_abs,e_rel,delta,resid,psnr,inner_k,inner_cum,tv_ratio,ref_check,alpha,beta,m_k
12,1,nan,nan,1.264003e-01,nan,2.302557e+01,1.000000e+01,1.544000e+03,1.000025e+00,nan,2.095192e-03,3.846154e-03,1.000000e+01
12,2,nan,nan,1.251733e-01,nan,2.305999e+01,1.000000e+01,1.544000e+03,9.999636e-01,nan,2.107456e-03,3.846154e-03,1.000000e+01
13,0,nan,nan,2.675560e-02,nan,2.645001e+01,8.000000e+00,1.552000e+03,1.000249e+00,nan,8.297337e-03,3.571429e-03,8.000000e+00
13,1,nan,nan,1.137801e-01,nan,2.312065e+01,8.000000e+00,1.552000e+03,1.000025e+00,nan,2.018208e-03,3.571429e-03,8.000000e+00
13,2,nan,nan,1.121755e-01,nan,2.315386e+01,8.000000e+00,1.552000e+03,9.999370e-01,nan,2.037991e-03,3.571429e-03,8.000000e+00
14,0,nan,nan,2.358154e-02,nan,2.644814e+01,7.000000e+00,1.559000e+03,1.000222e+00,nan,8.305633e-03,3.333333e-03,7.000000e+00
14,1,nan,nan,1.037573e-01,nan,2.320622e+01,7.000000e+00,1.559000e+03,1.000041e+00,nan,1.953085e-03,3.333333e-03,7.000000e+00
14,2,nan,nan,1.020382e-01,nan,2.323795e+01,7.000000e+00,1.559000e+03,9.999706e-01,nan,1.981024e-03,3.333333e-03,7.000000e+00
15,0,1.467263e-02,9.881863e-04,2.063872e-02,3.106727e-02,2.644637e+01,6.000000e+00,1.565000e+03,1.000198e+00,nan,8.282430e-03,3.125000e-03,6.000000e+00
15,1,1.794244e-02,4.439127e-04,9.368682e-02,1.217855e-01,2.328251e+01,6.000000e+00,1.565000e+03,1.000043e+00,nan,1.882398e-03,3.125000e-03,6.000000e+00
15,2,1.793548e-02,4.124218e-04,9.184293e-02,1.200973e-01,2.331275e+01,6.000000e+00,1.565000e+03,1.000054e+00,nan,1.914112e-03,3.125000e-03,6.000000e+00
16,0,nan,nan,1.786267e-02,nan,2.644467e+01,5.000000e+00,1.570000e+03,1.000185e+00,nan,8.382806e-03,2.941177e-03,5.000000e+00
16,1,nan,nan,8.328862e-02,nan,2.334943e+01,5.000000e+00,1.570000e+03,1.000042e+00,nan,1.846689e-03,2.941177e-03,5.000000e+00
16,2,nan,nan,8.144673e-02,nan,2.337835e+01,5.000000e+00,1.570000e+03,1.000102e+00,nan,1.883764e-03,2.941177e-03,5.000000e+00
17,0,nan,nan,1.667127e-02,nan,2.644305e+01,5.000000e+00,1.575000e+03,1.000182e+00,nan,8.639300e-03,2.777778e-03,5.000000e+00
17,1,nan,nan,7.979798e-02,nan,2.341279e+01,5.000000e+00,1.575000e+03,1.000094e+00,nan,1.852846e-03,2.777778e-03,5.000000e+00
17,2,nan,nan,7.779390e-02,nan,2.344034e+01,5.000000e+00,1.575000e+03,1.000164e+00,nan,1.894748e-03,2.777778e-03,5.000000e+00
18,0,nan,nan,1.394588e-02,nan,2.644164e+01,4.000000e+00,1.579000e+03,1.000211e+00,nan,8.307954e-03,2.631579e-03,4.000000e+00
18,1,nan,nan,6.892505e-02,nan,2.346684e+01,4.000000e+00,1.579000e+03,1.000119e+00,nan,1.735685e-03,2.631579e-03,4.000000e+00
18,2,nan,nan,6.695168e-02,nan,2.349302e+01,4.000000e+00,1.579000e+03,1.000093e+00,nan,1.780399e-03,2.631579e-03,4.000000e+00
19,0,nan,nan,1.243339e-02,nan,2.644165e+01,4.000000e+00,1.583000e+03,1.000331e+00,nan,8.963220e-03,2.500000e-03,4.000000e+00
19,1,nan,nan,6.671517e-02,nan,2.351838e+01,4.000000e+00,1.583000e+03,1.000110e+00,nan,1.813564e-03,2.500000e-03,4.000000e+00
19,2,nan,nan,6.464163e-02,nan,2.354300e+01,4.000000e+00,1.583000e+03,1.000072e+00,nan,1.867018e-03,2.500000e-03,4.000000e+00
20,0,1.439278e-02,9.684504e-04,1.129941e-02,2.284123e-02,2.644305e+01,4.000000e+00,1.587000e+03,1.000366e+00,nan,9.118884e-03,2.380952e-03,4.000000e+00
20,1,2.690242e-02,6.644834e-04,6.439911e-02,9.905905e-02,2.356739e+01,4.000000e+00,1.587000e+03,1.000071e+00,nan,1.699444e-03,2.380952e-03,4.000000e+00
20,2,2.599929e-02,5.969457e-04,6.215380e-02,9.590304e-02,2.359035e+01,4.000000e+00,1.587000e+03,1.000092e+00,nan,1.753958e-03,2.380952e-03,4.000000e+00
21,0,nan,nan,9.060960e-03,nan,2.644443e+01,3.000000e+00,1.590000e+03,1.000361e+00,nan,9.142586e-03,2.272727e-03,3.000000e+00
21,1,nan,nan,5.304145e-02,nan,2.360720e+01,3.000000e+00,1.590000e+03,1.000066e+00,nan,1.604149e-03,2.272727e-03,3.000000e+00
21,2,nan,nan,5.102563e-02,nan,2.362875e+01,3.000000e+00,1.590000e+03,1.000086e+00,nan,1.662099e-03,2.272727e-03,3.000000e+00
22,0,nan,nan,8.634362e-03,nan,2.644570e+01,3.000000e+00,1.593000e+03,1.000354e+00,nan,1.043134e-02,2.173913e-03,3.000000e+00
