k,img,e_abs,e_rel,delta,resid,psnr,inner_k,inner_cum,tv_ratio,ref_check,alpha,beta,m_k
12,1,nan,nan,1.395915e-01,nan,2.279569e+01,7.000000e+00,6.400000e+01,1.000221e+00,nan,2.061159e-03,3.846154e-03,7.000000e+00
12,2,nan,nan,1.390284e-01,nan,2.288198e+01,7.000000e+00,6.400000e+01,1.000356e+00,nan,2.059070e-03,3.846154e-03,7.000000e+00
13,0,nan,nan,6.843469e-02,nan,2.650688e+01,7.000000e+00,7.100000e+01,1.012413e+00,nan,3.103312e-03,3.571429e-03,7.000000e+00
13,1,nan,nan,1.289653e-01,nan,2.290582e+01,7.000000e+00,7.100000e+01,1.000056e+00,nan,1.827490e-03,3.571429e-03,7.000000e+00
13,2,nan,nan,1.278410e-01,nan,2.298860e+01,7.000000e+00,7.100000e+01,1.000143e+00,nan,1.834891e-03,3.571429e-03,7.000000e+00
14,0,nan,nan,5.559741e-02,nan,2.650890e+01,7.000000e+00,7.800000e+01,1.011006e+00,nan,3.247216e-03,3.333333e-03,7.000000e+00
14,1,nan,nan,1.205015e-01,nan,2.300759e+01,7.000000e+00,7.800000e+01,1.000038e+00,nan,1.723116e-03,3.333333e-03,7.000000e+00
14,2,nan,nan,1.189525e-01,nan,2.308685e+01,7.000000e+00,7.800000e+01,1.000076e+00,nan,1.738271e-03,3.333333e-03,7.000000e+00
15,0,7.885389e-02,5.317045e-03,4.705673e-02,9.081919e-02,2.650649e+01,7.000000e+00,8.500000e+01,1.009501e+00,nan,3.512979e-03,3.125000e-03,7.000000e+00
15,1,1.524690e-02,3.776867e-04,1.129659e-01,1.378967e-01,2.310197e+01,7.000000e+00,8.500000e+01,1.000064e+00,nan,1.620831e-03,3.125000e-03,7.000000e+00
15,2,1.534797e-02,3.532924e-04,1.108416e-01,1.360682e-01,2.317752e+01,7.000000e+00,8.500000e+01,1.000085e+00,nan,1.641936e-03,3.125000e-03,7.000000e+00
16,0,nan,nan,4.103521e-02,nan,2.650113e+01,7.000000e+00,9.200000e+01,1.008071e+00,nan,3.676634e-03,2.941177e-03,7.000000e+00
16,1,nan,nan,1.062349e-01,nan,2.318988e+01,7.000000e+00,9.200000e+01,1.000080e+00,nan,1.531528e-03,2.941177e-03,7.000000e+00
16,2,nan,nan,1.037901e-01,nan,2.326133e+01,7.000000e+00,9.200000e+01,1.000051e+00,nan,1.560880e-03,2.941177e-03,7.000000e+00
