k,img,e_abs,e_rel,delta,resid,psnr,inner_k,inner_cum,tv_ratio,ref_check,alpha,beta,m_k
0,0,2.001368e+00,1.393538e-01,8.618544e-01,2.042076e+00,2.267971e+01,1.000000e+00,1.000000e+00,2.953274e+00,nan,3.000000e-01,5.000000e-02,1.000000e+00
0,1,1.382138e+00,3.488436e-02,8.385281e-01,1.492532e+00,2.110888e+01,1.000000e+00,1.000000e+00,1.777394e+00,nan,3.000000e-01,5.000000e-02,1.000000e+00
0,2,1.731970e+00,4.057832e-02,9.595860e-01,1.827959e+00,2.091908e+01,1.000000e+00,1.000000e+00,2.339580e+00,nan,3.000000e-01,5.000000e-02,1.000000e+00
1,0,nan,nan,1.342624e+00,nan,2.314989e+01,1.000000e+00,2.000000e+00,1.858048e+00,nan,1.450361e-02,2.500000e-02,1.000000e+00
1,1,nan,nan,9.511354e-01,nan,2.169834e+01,1.000000e+00,2.000000e+00,1.272463e+00,nan,1.490707e-02,2.500000e-02,1.000000e+00
1,2,nan,nan,1.210376e+00,nan,2.157709e+01,1.000000e+00,2.000000e+00,1.512790e+00,nan,1.302645e-02,2.500000e-02,1.000000e+00
2,0,nan,nan,1.302960e+00,nan,2.304960e+01,1.000000e+00,3.000000e+00,2.190717e+00,nan,4.137835e-03,1.666667e-02,1.000000e+00
2,1,nan,nan,9.579623e-01,nan,2.210535e+01,1.000000e+00,3.000000e+00,1.081444e+00,nan,5.840973e-03,1.666667e-02,1.000000e+00
2,2,nan,nan,1.185208e+00,nan,2.191904e+01,1.000000e+00,3.000000e+00,1.523737e+00,nan,4.589940e-03,1.666667e-02,1.000000e+00
3,0,nan,nan,9.148898e-01,nan,2.273980e+01,1.000000e+00,4.000000e+00,2.696903e+00,nan,2.398386e-03,1.250000e-02,1.000000e+00
3,1,nan,nan,6.977850e-01,nan,2.229353e+01,1.000000e+00,4.000000e+00,1.111332e+00,nan,3.262133e-03,1.250000e-02,1.000000e+00
3,2,nan,nan,8.336340e-01,nan,2.201824e+01,1.000000e+00,4.000000e+00,1.805062e+00,nan,2.636668e-03,1.250000e-02,1.000000e+00
4,0,nan,nan,6.927092e-01,nan,2.262463e+01,1.000000e+00,5.000000e+00,2.553191e+00,nan,2.186056e-03,1.000000e-02,1.000000e+00
4,1,nan,nan,4.311802e-01,nan,2.244011e+01,1.000000e+00,5.000000e+00,1.095063e+00,nan,2.866213e-03,1.000000e-02,1.000000e+00
4,2,nan,nan,5.585046e-01,nan,2.216998e+01,1.000000e+00,5.000000e+00,1.755130e+00,nan,2.399134e-03,1.000000e-02,1.000000e+00
5,0,1.190021e+00,8.192127e-02,8.099958e-01,1.112583e+00,2.263292e+01,1.000000e+00,6.000000e+00,2.132605e+00,nan,2.005010e-03,8.333334e-03,1.000000e+00
5,1,4.523445e-01,1.131286e-02,3.304497e-01,4.441669e-01,2.260620e+01,1.000000e+00,6.000000e+00,1.007783e+00,nan,3.221133e-03,8.333334e-03,1.000000e+00
5,2,7.720424e-01,1.793883e-02,5.638260e-01,7.242312e-01,2.240972e+01,1.000000e+00,6.000000e+00,1.489568e+00,nan,2.486800e-03,8.333334e-03,1.000000e+00
6,0,nan,nan,8.445914e-01,nan,2.260332e+01,1.000000e+00,7.000000e+00,1.984228e+00,nan,1.259770e-03,7.142857e-03,1.000000e+00
6,1,nan,nan,2.867523e-01,nan,2.277293e+01,1.000000e+00,7.000000e+00,9.134564e-01,nan,3.087938e-03,7.142857e-03,1.000000e+00
6,2,nan,nan,5.860550e-01,nan,2.264800e+01,1.000000e+00,7.000000e+00,1.269694e+00,nan,1.809793e-03,7.142857e-03,1.000000e+00
7,0,nan,nan,7.380707e-01,nan,2.253605e+01,1.000000e+00,8.000000e+00,2.013203e+00,nan,9.250036e-04,6.250000e-03,1.000000e+00
7,1,nan,nan,2.277411e-01,nan,2.292151e+01,1.000000e+00,8.000000e+00,8.474010e-01,nan,2.724477e-03,6.250000e-03,1.000000e+00
7,2,nan,nan,5.132787e-01,nan,2.284331e+01,1.000000e+00,8.000000e+00,1.180713e+00,nan,1.333066e-03,6.250000e-03,1.000000e+00
8,0,nan,nan,6.582260e-01,nan,2.249070e+01,1.000000e+00,9.000000e+00,1.933705e+00,nan,8.363480e-04,5.555556e-03,1.000000e+00
8,1,nan,nan,1.595437e-01,nan,2.304609e+01,1.000000e+00,9.000000e+00,8.100858e-01,nan,2.710464e-03,5.555556e-03,1.000000e+00
8,2,nan,nan,4.104071e-01,nan,2.301242e+01,1.000000e+00,9.000000e+00,1.112860e+00,nan,1.202629e-03,5.555556e-03,1.000000e+00
9,0,nan,nan,6.399384e-01,nan,2.246918e+01,1.000000e+00,1.000000e+01,1.810530e+00,nan,7.596176e-04,5.000000e-03,1.000000e+00
9,1,nan,nan,1.077813e-01,nan,2.314746e+01,1.000000e+00,1.000000e+01,7.944915e-01,nan,3.133938e-03,5.000000e-03,1.000000e+00
9,2,nan,nan,3.371194e-01,nan,2.316609e+01,1.000000e+00,1.000000e+01,1.027122e+00,nan,1.218303e-03,5.000000e-03,1.000000e+00
10,0,8.339325e-01,5.732366e-02,5.936770e-01,7.759972e-01,2.245216e+01,1.000000e+00,1.100000e+01,1.762562e+00,nan,6.457234e-04,4.545454e-03,1.000000e+00
10,1,2.625319e-01,6.542274e-03,9.286436e-02,3.596856e-01,2.322719e+01,1.000000e+00,1.100000e+01,7.996923e-01,nan,3.833902e-03,4.545454e-03,1.000000e+00
10,2,3.847860e-01,8.908820e-03,2.758830e-01,3.770014e-01,2.330305e+01,1.000000e+00,1.100000e+01,9.518476e-01,nan,1.225747e-03,4.545454e-03,1.000000e+00
11,0,nan,nan,5.284492e-01,nan,2.244679e+01,1.000000e+00,1.200000e+01,1.706621e+00,nan,5.848673e-04,4.166667e-03,1.000000e+00
11,1,nan,nan,8.782703e-02,nan,2.330120e+01,1.000000e+00,1.200000e+01,8.047436e-01,nan,3.739026e-03,4.166667e-03,1.000000e+00
11,2,nan,nan,2.128372e-01,nan,2.342371e+01,1.000000e+00,1.200000e+01,8.958066e-01,nan,1.258585e-03,4.166667e-03,1.000000e+00
12,0,nan,nan,5.017046e-01,nan,2.245843e+01,1.000000e+00,1.300000e+01,1.581398e+00,nan,5.598608e-04,3.846154e-03,1.000000e+00
12,1,nan,nan,8.364454e-02,nan,2.337012e+01,1.000000e+00,1.300000e+01,8.097278e-01,nan,3.368644e-03,3.846154e-03,1.000000e+00
12,2,nan,nan,1.572337e-01,nan,2.352923e+01,1.000000e+00,1.300000e+01,8.488976e-01,nan,1.390067e-03,3.846154e-03,1.000000e+00
13,0,nan,nan,4.881323e-01,nan,2.246984e+01,1.000000e+00,1.400000e+01,1.486768e+00,nan,5.084705e-04,3.571429e-03,1.000000e+00
13,1,nan,nan,7.969527e-02,nan,2.343431e+01,1.000000e+00,1.400000e+01,8.146354e-01,nan,3.049835e-03,3.571429e-03,1.000000e+00
13,2,nan,nan,1.153795e-01,nan,2.361873e+01,1.000000e+00,1.400000e+01,8.120654e-01,nan,1.622439e-03,3.571429e-03,1.000000e+00
14,0,nan,nan,4.386772e-01,nan,2.247560e+01,1.000000e+00,1.500000e+01,1.466151e+00,nan,4.552499e-04,3.333333e-03,1.000000e+00
14,1,nan,nan,7.600492e-02,nan,2.349410e+01,1.000000e+00,1.500000e+01,8.194472e-01,nan,2.788399e-03,3.333333e-03,1.000000e+00
14,2,nan,nan,8.662390e-02,nan,2.369227e+01,1.000000e+00,1.500000e+01,7.960852e-01,nan,1.926011e-03,3.333333e-03,1.000000e+00
15,0,5.401565e-01,3.701369e-02,3.761603e-01,5.077032e-01,2.249106e+01,1.000000e+00,1.600000e+01,1.437157e+00,nan,4.452306e-04,3.125000e-03,1.000000e+00
15,1,2.050012e-01,5.092293e-03,7.255080e-02,2.830093e-01,2.354982e+01,1.000000e+00,1.600000e+01,8.241637e-01,nan,2.569735e-03,3.125000e-03,1.000000e+00
15,2,2.215105e-01,5.114368e-03,7.829370e-02,3.035088e-01,2.375304e+01,1.000000e+00,1.600000e+01,8.012091e-01,nan,2.254718e-03,3.125000e-03,1.000000e+00
16,0,nan,nan,3.439451e-01,nan,2.252047e+01,1.000000e+00,1.700000e+01,1.357414e+00,nan,4.599380e-04,2.941177e-03,1.000000e+00
16,1,nan,nan,6.931809e-02,nan,2.360175e+01,1.000000e+00,1.700000e+01,8.287774e-01,nan,2.384679e-03,2.941177e-03,1.000000e+00
16,2,nan,nan,7.450195e-02,nan,2.380945e+01,1.000000e+00,1.700000e+01,8.063990e-01,nan,2.209761e-03,2.941177e-03,1.000000e+00
17,0,nan,nan,3.266979e-01,nan,2.255332e+01,1.000000e+00,1.800000e+01,1.272612e+00,nan,4.486792e-04,2.777778e-03,1.000000e+00
17,1,nan,nan,6.629127e-02,nan,2.365018e+01,1.000000e+00,1.800000e+01,8.332862e-01,nan,2.226273e-03,2.777778e-03,1.000000e+00
17,2,nan,nan,7.118914e-02,nan,2.386189e+01,1.000000e+00,1.800000e+01,8.116735e-01,nan,2.071369e-03,2.777778e-03,1.000000e+00
18,0,nan,nan,2.957001e-01,nan,2.258413e+01,1.000000e+00,1.900000e+01,1.225883e+00,nan,4.239518e-04,2.631579e-03,1.000000e+00
18,1,nan,nan,6.345390e-02,nan,2.369534e+01,1.000000e+00,1.900000e+01,8.376972e-01,nan,2.089327e-03,2.631579e-03,1.000000e+00
18,2,nan,nan,6.807850e-02,nan,2.391063e+01,1.000000e+00,1.900000e+01,8.170027e-01,nan,1.945580e-03,2.631579e-03,1.000000e+00
19,0,nan,nan,2.536894e-01,nan,2.261569e+01,1.000000e+00,2.000000e+01,1.194280e+00,nan,4.227256e-04,2.500000e-03,1.000000e+00
19,1,nan,nan,6.079670e-02,nan,2.373749e+01,1.000000e+00,2.000000e+01,8.420123e-01,nan,1.969934e-03,2.500000e-03,1.000000e+00
19,2,nan,nan,6.517708e-02,nan,2.395596e+01,1.000000e+00,2.000000e+01,8.223792e-01,nan,1.836116e-03,2.500000e-03,1.000000e+00
20,0,3.218884e-01,2.194945e-02,2.198849e-01,3.272510e-01,2.265120e+01,1.000000e+00,2.100000e+01,1.153459e+00,nan,4.469192e-04,2.380952e-03,1.000000e+00
20,1,1.647221e-01,4.082004e-03,5.830357e-02,2.277751e-01,2.377682e+01,1.000000e+00,2.100000e+01,8.462353e-01,nan,1.864882e-03,2.380952e-03,1.000000e+00
20,2,1.766368e-01,4.069029e-03,6.246444e-02,2.431083e-01,2.399813e+01,1.000000e+00,2.100000e+01,8.277981e-01,nan,1.739549e-03,2.380952e-03,1.000000e+00
21,0,nan,nan,1.938150e-01,nan,2.269004e+01,1.000000e+00,2.200000e+01,1.103193e+00,nan,4.698175e-04,2.272727e-03,1.000000e+00
21,1,nan,nan,5.596586e-02,nan,2.381355e+01,1.000000e+00,2.200000e+01,8.503723e-01,nan,1.771860e-03,2.272727e-03,1.000000e+00
21,2,nan,nan,5.992956e-02,nan,2.403736e+01,1.000000e+00,2.200000e+01,8.332770e-01,nan,1.653834e-03,2.272727e-03,1.000000e+00
22,0,nan,nan,1.698836e-01,nan,2.273110e+01,1.000000e+00,2.300000e+01,1.059808e+00,nan,4.876710e-04,2.173913e-03,1.000000e+00
22,1,nan,nan,5.377157e-02,nan,2.384785e+01,1.000000e+00,2.300000e+01,8.544309e-01,nan,1.688850e-03,2.173913e-03,1.000000e+00
22,2,nan,nan,5.755784e-02,nan,2.407388e+01,1.000000e+00,2.300000e+01,8.387797e-01,nan,1.577151e-03,2.173913e-03,1.000000e+00
23,0,nan,nan,1.456885e-01,nan,2.277383e+01,1.000000e+00,2.400000e+01,1.026631e+00,nan,5.109709e-04,2.083333e-03,1.000000e+00
23,1,nan,nan,5.171081e-02,nan,2.387989e+01,1.000000e+00,2.400000e+01,8.584133e-01,nan,1.614339e-03,2.083333e-03,1.000000e+00
23,2,nan,nan,5.533731e-02,nan,2.410787e+01,1.000000e+00,2.400000e+01,8.443170e-01,nan,1.508145e-03,2.083333e-03,1.000000e+00
24,0,nan,nan,1.217391e-01,nan,2.281809e+01,1.000000e+00,2.500000e+01,9.976578e-01,nan,5.491169e-04,2.000000e-03,1.000000e+00
24,1,nan,nan,4.977695e-02,nan,2.390984e+01,1.000000e+00,2.500000e+01,8.623191e-01,nan,1.547065e-03,2.000000e-03,1.000000e+00
24,2,nan,nan,5.325949e-02,nan,2.413951e+01,1.000000e+00,2.500000e+01,8.498921e-01,nan,1.445679e-03,2.000000e-03,1.000000e+00
25,0,2.179847e-01,1.477779e-02,1.017258e-01,2.597283e-01,2.286388e+01,1.000000e+00,2.600000e+01,9.733375e-01,nan,6.075657e-04,1.923077e-03,1.000000e+00
25,1,1.354897e-01,3.351566e-03,4.795733e-02,1.875751e-01,2.393783e+01,1.000000e+00,2.600000e+01,8.661479e-01,nan,1.485919e-03,1.923077e-03,1.000000e+00
25,2,1.450665e-01,3.336129e-03,5.130992e-02,1.998823e-01,2.416898e+01,1.000000e+00,2.600000e+01,8.555027e-01,nan,1.388757e-03,1.923077e-03,1.000000e+00
