k,img,e_abs,e_rel,delta,resid,psnr,inner_k,inner_cum,tv_ratio,ref_check,alpha,beta,m_k
0,0,2.847572e+00,1.979602e-01,9.913626e-01,2.881853e+00,2.626147e+01,1.000000e+00,1.000000e+00,3.280383e+00,nan,3.000000e-01,5.000000e-02,1.000000e+00
0,1,1.562035e+00,3.980162e-02,9.051238e-01,1.679542e+00,1.977858e+01,1.000000e+00,1.000000e+00,1.840141e+00,nan,3.000000e-01,5.000000e-02,1.000000e+00
0,2,1.857633e+00,4.387638e-02,1.027241e+00,1.965625e+00,1.964246e+01,1.000000e+00,1.000000e+00,2.393605e+00,nan,3.000000e-01,5.000000e-02,1.000000e+00
1,0,nan,nan,1.579378e+00,nan,2.747683e+01,1.000000e+00,2.000000e+00,2.221691e+00,nan,1.260891e-02,2.500000e-02,1.000000e+00
1,1,nan,nan,9.967806e-01,nan,2.026115e+01,1.000000e+00,2.000000e+00,1.328789e+00,nan,1.381026e-02,2.500000e-02,1.000000e+00
1,2,nan,nan,1.239169e+00,nan,2.018789e+01,1.000000e+00,2.000000e+00,1.566911e+00,nan,1.216851e-02,2.500000e-02,1.000000e+00
2,0,nan,nan,1.517247e+00,nan,2.679611e+01,1.000000e+00,3.000000e+00,3.016159e+00,nan,3.517559e-03,1.666667e-02,1.000000e+00
2,1,nan,nan,1.009746e+00,nan,2.060141e+01,1.000000e+00,3.000000e+00,1.145637e+00,nan,5.573499e-03,1.666667e-02,1.000000e+00
2,2,nan,nan,1.214488e+00,nan,2.049870e+01,1.000000e+00,3.000000e+00,1.603597e+00,nan,4.483291e-03,1.666667e-02,1.000000e+00
3,0,nan,nan,1.058628e+00,nan,2.581466e+01,1.000000e+00,4.000000e+00,3.530089e+00,nan,2.059652e-03,1.250000e-02,1.000000e+00
3,1,nan,nan,7.495233e-01,nan,2.078108e+01,1.000000e+00,4.000000e+00,1.185811e+00,nan,3.094839e-03,1.250000e-02,1.000000e+00
3,2,nan,nan,8.603016e-01,nan,2.063476e+01,1.000000e+00,4.000000e+00,1.883068e+00,nan,2.573100e-03,1.250000e-02,1.000000e+00
4,0,nan,nan,9.461406e-01,nan,2.554469e+01,1.000000e+00,5.000000e+00,3.182979e+00,nan,1.889238e-03,1.000000e-02,1.000000e+00
4,1,nan,nan,4.845109e-01,nan,2.093795e+01,1.000000e+00,5.000000e+00,1.171668e+00,nan,2.668363e-03,1.000000e-02,1.000000e+00
4,2,nan,nan,5.982468e-01,nan,2.081735e+01,1.000000e+00,5.000000e+00,1.815357e+00,nan,2.324766e-03,1.000000e-02,1.000000e+00
5,0,1.887089e+00,1.295522e-01,1.183131e+00,1.834915e+00,2.549958e+01,1.000000e+00,6.000000e+00,2.741912e+00,nan,1.467952e-03,8.333334e-03,1.000000e+00
