k,img,e_abs,e_rel,delta,resid,psnr,inner_k,inner_cum,tv_ratio,ref_check,alpha,beta,m_k
12,1,nan,nan,9.500469e-02,nan,2.380117e+01,7.000000e+00,2.590000e+02,9.999712e-01,nan,2.750020e-03,3.846154e-03,7.000000e+00
12,2,nan,nan,9.648230e-02,nan,2.386963e+01,7.000000e+00,2.590000e+02,9.999380e-01,nan,2.712220e-03,3.846154e-03,7.000000e+00
13,0,nan,nan,5.321917e-02,nan,2.431410e+01,6.000000e+00,2.650000e+02,1.002020e+00,nan,4.247265e-03,3.571429e-03,6.000000e+00
13,1,nan,nan,8.424956e-02,nan,2.384762e+01,6.000000e+00,2.650000e+02,9.999510e-01,nan,2.685152e-03,3.571429e-03,6.000000e+00
13,2,nan,nan,8.558035e-02,nan,2.392661e+01,6.000000e+00,2.650000e+02,9.999640e-01,nan,2.644029e-03,3.571429e-03,6.000000e+00
14,0,nan,nan,4.973571e-02,nan,2.434004e+01,6.000000e+00,2.710000e+02,1.001830e+00,nan,4.175604e-03,3.333333e-03,6.000000e+00
14,1,nan,nan,7.897655e-02,nan,2.388884e+01,6.000000e+00,2.710000e+02,9.999994e-01,nan,2.637666e-03,3.333333e-03,6.000000e+00
14,2,nan,nan,8.017899e-02,nan,2.397817e+01,6.000000e+00,2.710000e+02,1.000009e+00,nan,2.596650e-03,3.333333e-03,6.000000e+00
15,0,1.479145e-02,9.857466e-04,4.333254e-02,5.925745e-02,2.436117e+01,5.000000e+00,2.760000e+02,1.001736e+00,nan,3.927008e-03,3.125000e-03,5.000000e+00
15,1,1.921978e-02,4.736797e-04,6.897400e-02,9.812296e-02,2.392311e+01,5.000000e+00,2.760000e+02,1.000000e+00,nan,2.473044e-03,3.125000e-03,5.000000e+00
15,2,1.958636e-02,4.491455e-04,7.008486e-02,9.949795e-02,2.402187e+01,5.000000e+00,2.760000e+02,9.999464e-01,nan,2.435956e-03,3.125000e-03,5.000000e+00
16,0,nan,nan,4.082053e-02,nan,2.437982e+01,5.000000e+00,2.810000e+02,1.001743e+00,nan,3.992621e-03,2.941177e-03,5.000000e+00
16,1,nan,nan,6.557912e-02,nan,2.395410e+01,5.000000e+00,2.810000e+02,9.999839e-01,nan,2.508342e-03,2.941177e-03,5.000000e+00
16,2,nan,nan,6.662371e-02,nan,2.406183e+01,5.000000e+00,2.810000e+02,9.999336e-01,nan,2.468584e-03,2.941177e-03,5.000000e+00
17,0,nan,nan,3.839627e-02,nan,2.439623e+01,5.000000e+00,2.860000e+02,1.001682e+00,nan,3.780475e-03,2.777778e-03,5.000000e+00
17,1,nan,nan,6.209877e-02,nan,2.398204e+01,5.000000e+00,2.860000e+02,9.999917e-01,nan,2.353203e-03,2.777778e-03,5.000000e+00
17,2,nan,nan,6.309447e-02,nan,2.409821e+01,5.000000e+00,2.860000e+02,9.999532e-01,nan,2.316307e-03,2.777778e-03,5.000000e+00
18,0,nan,nan,3.617160e-02,nan,2.441076e+01,5.000000e+00,2.910000e+02,1.001728e+00,nan,3.607230e-03,2.631579e-03,5.000000e+00
18,1,nan,nan,5.904746e-02,nan,2.400727e+01,5.000000e+00,2.910000e+02,1.000007e+00,nan,2.230385e-03,2.631579e-03,5.000000e+00
18,2,nan,nan,5.995365e-02,nan,2.413142e+01,5.000000e+00,2.910000e+02,9.999908e-01,nan,2.195187e-03,2.631579e-03,5.000000e+00
19,0,nan,nan,3.415024e-02,nan,2.442369e+01,5.000000e+00,2.960000e+02,1.001731e+00,nan,3.455750e-03,2.500000e-03,5.000000e+00
19,1,nan,nan,5.629962e-02,nan,2.403010e+01,5.000000e+00,2.960000e+02,1.000005e+00,nan,2.116941e-03,2.500000e-03,5.000000e+00
19,2,nan,nan,5.714680e-02,nan,2.416183e+01,5.000000e+00,2.960000e+02,9.999827e-01,nan,2.084944e-03,2.500000e-03,5.000000e+00
20,0,1.289200e-02,8.570476e-04,3.218010e-02,4.388920e-02,2.443509e+01,5.000000e+00,3.010000e+02,1.001735e+00,nan,3.319997e-03,2.380952e-03,5.000000e+00
20,1,1.501532e-02,3.695551e-04,5.380683e-02,7.588125e-02,2.405075e+01,5.000000e+00,3.010000e+02,1.000010e+00,nan,2.013845e-03,2.380952e-03,5.000000e+00
20,2,1.526649e-02,3.496547e-04,5.457539e-02,7.675527e-02,2.418972e+01,5.000000e+00,3.010000e+02,1.000014e+00,nan,1.983990e-03,2.380952e-03,5.000000e+00
21,0,nan,nan,2.742155e-02,nan,2.444413e+01,4.000000e+00,3.050000e+02,1.001750e+00,nan,3.210238e-03,2.272727e-03,4.000000e+00
21,1,nan,nan,4.645967e-02,nan,2.406760e+01,4.000000e+00,3.050000e+02,9.999930e-01,nan,1.919938e-03,2.272727e-03,4.000000e+00
21,2,nan,nan,4.705153e-02,nan,2.421294e+01,4.000000e+00,3.050000e+02,1.000038e+00,nan,1.892900e-03,2.272727e-03,4.000000e+00
22,0,nan,nan,2.609006e-02,nan,2.445230e+01,4.000000e+00,3.090000e+02,1.001732e+00,nan,3.446850e-03,2.173913e-03,4.000000e+00
22,1,nan,nan,4.500309e-02,nan,2.408297e+01,4.000000e+00,3.090000e+02,9.999954e-01,nan,2.034409e-03,2.173913e-03,4.000000e+00
22,2,nan,nan,4.551871e-02,nan,2.423464e+01,4.000000e+00,3.090000e+02,1.000033e+00,nan,2.008818e-03,2.173913e-03,4.000000e+00
23,0,nan,nan,2.481900e-02,nan,2.445955e+01,4.000000e+00,3.130000e+02,1.001614e+00,nan,3.327150e-03,2.083333e-03,4.000000e+00
23,1,nan,nan,4.341445e-02,nan,2.409694e+01,4.000000e+00,3.130000e+02,1.000010e+00,nan,1.928880e-03,2.083333e-03,4.000000e+00
23,2,nan,nan,4.383747e-02,nan,2.425474e+01,4.000000e+00,3.130000e+02,1.000028e+00,nan,1.907030e-03,2.083333e-03,4.000000e+00
24,0,nan,nan,2.369333e-02,nan,2.446587e+01,4.000000e+00,3.170000e+02,1.001503e+00,nan,3.223337e-03,2.000000e-03,4.000000e+00
24,1,nan,nan,4.195596e-02,nan,2.410965e+01,4.000000e+00,3.170000e+02,1.000015e+00,nan,1.842704e-03,2.000000e-03,4.000000e+00
24,2,nan,nan,4.233581e-02,nan,2.427336e+01,4.000000e+00,3.170000e+02,1.000013e+00,nan,1.824923e-03,2.000000e-03,4.000000e+00
25,0,1.503354e-02,9.979648e-04,1.933075e-02,3.484083e-02,2.447054e+01,3.000000e+00,3.200000e+02,1.001480e+00,nan,3.121743e-03,1.923077e-03,3.000000e+00
25,1,2.307788e-02,5.675116e-04,3.457604e-02,6.359149e-02,2.411957e+01,3.000000e+00,3.200000e+02,9.999995e-01,nan,1.762908e-03,1.923077e-03,3.000000e+00
25,2,2.319973e-02,5.309472e-04,3.484675e-02,6.374595e-02,2.428808e+01,3.000000e+00,3.200000e+02,1.000026e+00,nan,1.747091e-03,1.923077e-03,3.000000e+00
26,0,nan,nan,1.860366e-02,nan,2.447472e+01,3.000000e+00,3.230000e+02,1.001539e+00,nan,3.548083e-03,1.851852e-03,3.000000e+00
26,1,nan,nan,3.384527e-02,nan,2.412874e+01,3.000000e+00,3.230000e+02,1.000004e+00,nan,1.983660e-03,1.851852e-03,3.000000e+00
26,2,nan,nan,3.402667e-02,nan,2.430188e+01,3.000000e+00,3.230000e+02,1.000113e+00,nan,1.968250e-03,1.851852e-03,3.000000e+00
27,0,nan,nan,1.781521e-02,nan,2.447838e+01,3.000000e+00,3.260000e+02,1.001593e+00,nan,3.428116e-03,1.785714e-03,3.000000e+00
27,1,nan,nan,3.297434e-02,nan,2.413717e+01,3.000000e+00,3.260000e+02,1.000002e+00,nan,1.884326e-03,1.785714e-03,3.000000e+00
