beta0,doc_proj_disp,doc_delta,tong_nua_K,tong_K,ty_le,ket_luan
0.05,-1.479,-1.686,8.4705,8.8398,1.044,TỔNG ĐƯỢC (độ dốc < -1)
0.0,-1.686,-1.686,7.9381,8.2120,1.035,TỔNG ĐƯỢC (độ dốc < -1)
