k,img,e_abs,e_rel,delta,resid,psnr,inner_k,inner_cum,tv_ratio,ref_check,alpha,beta,m_k
0,0,5.358096e-01,3.730804e-02,2.448656e+00,5.418148e-01,2.314110e+01,5.000000e+00,5.000000e+00,1.222758e+00,nan,3.000000e-01,5.000000e-02,5.000000e+00
0,1,2.248095e-01,5.674059e-03,1.885504e+00,5.612441e-01,2.179010e+01,5.000000e+00,5.000000e+00,1.035406e+00,nan,3.000000e-01,5.000000e-02,5.000000e+00
0,2,4.040976e-01,9.467602e-03,2.280716e+00,6.168181e-01,2.170689e+01,5.000000e+00,5.000000e+00,1.116222e+00,nan,3.000000e-01,5.000000e-02,5.000000e+00
1,0,nan,nan,7.611090e-01,nan,2.314289e+01,5.000000e+00,1.000000e+01,9.952432e-01,nan,5.104841e-03,2.500000e-02,5.000000e+00
1,1,nan,nan,6.148857e-01,nan,2.229080e+01,5.000000e+00,1.000000e+01,8.553073e-01,nan,6.629528e-03,2.500000e-02,5.000000e+00
1,2,nan,nan,7.323048e-01,nan,2.224870e+01,5.000000e+00,1.000000e+01,8.864480e-01,nan,5.480734e-03,2.500000e-02,5.000000e+00
2,0,nan,nan,3.005395e-01,nan,2.320016e+01,5.000000e+00,1.500000e+01,9.328135e-01,nan,7.299291e-03,1.666667e-02,5.000000e+00
2,1,nan,nan,3.281933e-01,nan,2.257789e+01,5.000000e+00,1.500000e+01,8.771411e-01,nan,9.035103e-03,1.666667e-02,5.000000e+00
2,2,nan,nan,3.456041e-01,nan,2.259727e+01,5.000000e+00,1.500000e+01,8.512138e-01,nan,7.586398e-03,1.666667e-02,5.000000e+00
3,0,nan,nan,1.914340e-01,nan,2.331288e+01,5.000000e+00,2.000000e+01,9.092830e-01,nan,1.039797e-02,1.250000e-02,5.000000e+00
3,1,nan,nan,2.647075e-01,nan,2.279213e+01,5.000000e+00,2.000000e+01,9.023259e-01,nan,9.521828e-03,1.250000e-02,5.000000e+00
3,2,nan,nan,2.740787e-01,nan,2.281981e+01,5.000000e+00,2.000000e+01,8.754125e-01,nan,9.042139e-03,1.250000e-02,5.000000e+00
4,0,nan,nan,1.785739e-01,nan,2.346416e+01,5.000000e+00,2.500000e+01,9.197433e-01,nan,1.044747e-02,1.000000e-02,5.000000e+00
4,1,nan,nan,2.367427e-01,nan,2.297142e+01,5.000000e+00,2.500000e+01,9.255630e-01,nan,7.555509e-03,1.000000e-02,5.000000e+00
4,2,nan,nan,2.405026e-01,nan,2.300111e+01,5.000000e+00,2.500000e+01,9.042031e-01,nan,7.297175e-03,1.000000e-02,5.000000e+00
5,0,5.610510e-02,3.809241e-03,1.826435e-01,2.100770e-01,2.362736e+01,5.000000e+00,3.000000e+01,9.641657e-01,nan,7.777672e-03,8.333334e-03,5.000000e+00
5,1,5.818697e-02,1.448008e-03,2.066936e-01,2.840419e-01,2.311819e+01,5.000000e+00,3.000000e+01,9.466206e-01,nan,5.866661e-03,8.333334e-03,5.000000e+00
5,2,5.971589e-02,1.381234e-03,2.116910e-01,2.888470e-01,2.315063e+01,5.000000e+00,3.000000e+01,9.333027e-01,nan,5.774944e-03,8.333334e-03,5.000000e+00
6,0,nan,nan,1.620339e-01,nan,2.377076e+01,5.000000e+00,3.500000e+01,1.011221e+00,nan,5.586884e-03,7.142857e-03,5.000000e+00
6,1,nan,nan,1.834673e-01,nan,2.323933e+01,5.000000e+00,3.500000e+01,9.660304e-01,nan,4.936814e-03,7.142857e-03,5.000000e+00
6,2,nan,nan,1.880556e-01,nan,2.327435e+01,5.000000e+00,3.500000e+01,9.616332e-01,nan,4.820271e-03,7.142857e-03,5.000000e+00
