muc_phan_du,buoc_noi_chieu_chinh_xac,giay_chieu_chinh_xac,buoc_noi_thich_nghi,giay_thich_nghi,he_so_buoc_noi,he_so_thoi_gian
3.0e-02,3796,2.48,198,0.52,19.17,4.73
2.0e-02,3858,5.13,275,0.70,14.03,7.38
1.5e-02,5738,8.61,357,0.88,16.07,9.74
1.2e-02,8509,9.73,476,1.12,17.88,8.68
1.0e-02,8566,11.25,649,1.43,13.20,7.89
